stock,return1y,return2y,return3y,momentum_3m,momentum_6m,momentum_1y,volatility_1y,volatility_2y,volatility_3y,priceToBook,marketCap,returnOnEquity,earningsGrowth,predicted_cluster
TUPRS.IS,0.8002226213,1.151177453,0.9987367217,0.5645557257,0.5458859247,0.5820613848,1,0.9422311788,0.6901484415,0.07980076684,0.6968670577,0.6235617344,0.2753777091,2
VAKBN.IS,0.4971455332,0.2482495484,0.09895319913,0.7237819482,0.5635794596,0.2988444097,0,2.835052532e-05,0.00231976496,0,0.3023735714,0.3506043459,0.2249360429,1
KRDMD.IS,0.3096118634,0.7765832485,1.548908445,0,0,0.1235994941,0.04207016297,0.04208034491,0.04015061396,0.02315046112,0.02570624789,0.5635456941,0.03277501569,3
DOHOL.IS,0.6767536948,0.6111860296,1.171703519,0.6537661158,0.7375116501,0.4666831617,0.003394415032,0.001793318075,0.003048681893,0.01019338363,0.03245808593,0.4331626551,0.3099386977,1
AKBNK.IS,0.5414162273,0.5932975015,0.4463051509,0.7400188082,0.532702412,0.3402141224,0.0174981652,0.01519714372,0.009952029798,0.002445227316,0.4789964938,0.4213254845,0.2745088575,1
TKFEN.IS,0.3386060186,0.5459861667,0.4729366275,0.7060093424,0.3859042583,0.1506937128,0.06174829106,0.04817561986,0.03547671859,0.01957252464,0.001463278942,0.3079173778,0.1219771202,1
FROTO.IS,0.3950237077,1.087158714,1.719186922,0.3542018938,0.2166737693,0.2034144493,0.9064088599,1,1,0.3002489312,0.9979648257,1,0.1529661631,2
GARAN.IS,0.8175329006,0.9125165444,0.8522853674,1,0.8215737711,0.5982373517,0.04130861677,0.03731634036,0.02578996884,0.0128027864,0.8703622171,0.4099469388,0.1814451899,1
KOZAA.IS,0.3780866326,0.5313128645,0.9610017038,0.02094385073,0.2405414171,0.1875872311,0.087499782,0.07685887437,0.06662101,0.04157603958,0.00161635997,0.388432199,0.005550996766,3
HALKB.IS,0.4580140462,0.2451224878,0.180920063,0.5228703137,0.4489590628,0.2622771407,0.001207066805,0,0.00119946403,0.0001279638634,0.2327783492,0.2869773706,0.3701308104,1
TCELL.IS,0.188844048,0.3995245115,0.5987488668,0.4284712231,0.01524999646,0.01074538292,0.03125965143,0.02971110921,0.0281013417,0.04510363308,0.3398365304,0.3664762444,0.05449630738,3
KOZAL.IS,0.3807058573,0.5580269387,0.8242686353,0.006228641219,0.3458131849,0.1900348226,0.4937733151,0.4168436494,0.374893888,0.04250009911,0.1224700866,0.4107654975,0.02577593281,3
VESTL.IS,0.1773838848,0.5894194245,1.0967689,0.3729377016,0.2302786751,3.618430294e-05,0.02867301653,0.0566956885,0.07633295495,0.01660868298,0,0.3613036504,0,3
